Date,Open,Y
03/01/24,179.550003,1
12/01/23,190.330002,0
09/01/23,189.490005,0
06/01/23,177.699997,0
03/01/23,146.830002,0
12/01/22,148.210007,0
09/01/22,156.639999,0
06/01/22,149.899994,0
03/01/22,164.699997,0
12/01/21,167.479996,0
09/01/21,152.830002,0
06/01/21,125.080002,0
03/01/21,123.75,0
12/01/20,121.010002,0
09/01/20,132.759995,0
06/01/20,79.4375,0
03/01/20,70.57,0
12/01/19,66.817497,0
09/01/19,51.607498,0
06/01/19,43.900002,0
03/01/19,43.57,0
12/01/18,46.115002,0
09/01/18,57.102501,1
06/01/18,46.997501,0
03/01/18,44.634998,0
12/01/17,42.487499,0
09/01/17,41.200001,0
06/01/17,38.2925,0
03/01/17,34.4725,0
12/01/16,27.592501,0
09/01/16,26.535,0
06/01/16,24.754999,0
03/01/16,24.4125,0
12/01/15,29.6875,1
09/01/15,27.5375,0
06/01/15,32.57,1
03/01/15,32.3125,0
12/01/14,29.702499,0
09/01/14,25.764999,0
06/01/14,22.64143,0
03/01/14,18.693571,0
12/01/13,19.928572,0
09/01/13,17.610714,0
06/01/13,16.0975,0
03/01/13,15.642857,0
12/01/12,21.201786,1
09/01/12,23.777143,0
06/01/12,20.327143,0
03/01/12,19.577499,0
12/01/11,13.662143,0
09/01/11,13.779286,0
06/01/11,12.459643,0
03/01/11,12.695357,0
12/01/10,11.259643,0
09/01/10,8.838214,0
06/01/10,9.274643,0
03/01/10,7.348214,0
12/01/09,7.222857,0
09/01/09,5.999643,0
06/01/09,4.873929,0
03/01/09,3.147143,0
12/01/08,3.260714,0
09/01/08,6.157143,1
06/01/08,6.735714,0
03/01/08,4.444286,0
12/01/07,6.495,1
09/01/07,4.997857,0
06/01/07,4.325,0
03/01/07,3.001071,0
12/01/06,3.278571,0
09/01/06,2.445714,0
06/01/06,2.1375,0
03/01/06,2.458571,0
12/01/05,2.4625,0
09/01/05,1.678571,0
06/01/05,1.424643,0
03/01/05,1.606786,0
12/01/04,1.210536,0
09/01/04,0.6125,0
06/01/04,0.49625,0
03/01/04,0.430357,0
12/01/03,0.375714,0
09/01/03,0.404643,0
06/01/03,0.323214,0
03/01/03,0.268036,0
12/01/02,0.283929,0
09/01/02,0.25875,0
06/01/02,0.417679,1
03/01/02,0.391607,0
12/01/01,0.376071,0
09/01/01,0.330357,0
06/01/01,0.359464,0
03/01/01,0.31808,0
12/01/00,0.303571,0
09/01/00,1.094866,1
06/01/00,0.729911,0
03/01/00,1.058594,1
12/01/99,0.901786,0
09/01/99,0.598214,0
06/01/99,0.401786,0
03/01/99,0.310826,0
12/01/98,0.285714,0
09/01/98,0.280134,0
06/01/98,0.236607,0
03/01/98,0.210379,0
12/01/97,0.157924,0
09/01/97,0.196429,1
06/01/97,0.151786,0
03/01/97,0.147321,0
12/01/96,0.215402,1
09/01/96,0.215402,0
06/01/96,0.231027,0
03/01/96,0.246652,0
12/01/95,0.339286,1
09/01/95,0.383929,0
06/01/95,0.373884,0
03/01/95,0.354911,0
12/01/94,0.330357,0
09/01/94,0.315848,0
06/01/94,0.254464,0
03/01/94,0.328125,1
12/01/93,0.285714,0
09/01/93,0.236607,0
06/01/93,0.504464,1
03/01/93,0.473214,0
12/01/92,0.511161,0
09/01/92,0.412946,0
06/01/92,0.511161,1
03/01/92,0.604911,1
12/01/91,0.453125,0
09/01/91,0.470982,0
06/01/91,0.419643,0
03/01/91,0.508929,1
12/01/90,0.332589,0
09/01/90,0.325893,0
06/01/90,0.36942,0
03/01/90,0.299107,0
12/01/89,0.397321,1
09/01/89,0.397321,0
06/01/89,0.426339,0
03/01/89,0.323661,0
12/01/88,0.337054,0
09/01/88,0.354911,0
06/01/88,0.370536,0
03/01/88,0.386161,0
12/01/87,0.299107,0
09/01/87,0.488839,1
06/01/87,0.354911,0
03/01/87,0.313616,0
12/01/86,0.178571,0
09/01/86,0.165737,0
06/01/86,0.165179,0
03/01/86,0.111607,0
12/01/85,0.089844,0
09/01/85,0.066964,0
06/01/85,0.075893,0
03/01/85,0.110491,1