name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
OperatingCashFlow,"101,746,000,000","18,915,000,000","30,656,000,000","28,666,000,000","23,509,000,000","23,614,000,000","23,353,000,000","19,422,000,000","25,106,000,000","24,934,000,000","25,539,000,000","21,890,000,000","19,289,000,000","22,677,000,000","17,003,000,000","13,993,000,000","11,451,000,000","14,427,000,000","15,466,000,000","12,627,000,000","12,000,000,000","12,987,000,000","13,210,000,000","10,132,000,000","11,642,000,000","10,268,000,000","9,872,000,000","7,403,000,000","9,548,000,000","9,413,000,000","9,845,000,000","9,120,000,000","7,658,000,000","6,415,000,000","6,145,000,000","7,096,000,000","6,722,000,000","6,364,000,000","5,994,000,000","5,627,000,000","4,391,000,000","5,238,000,000","5,083,000,000","4,705,000,000","3,633,000,000","4,669,000,000","4,004,000,000","4,252,000,000","3,694,000,000","3,924,000,000","3,950,000,000","3,519,000,000","3,172,000,000","3,526,000,000","2,886,000,000","2,085,000,000","2,584,000,000","2,731,531,000","2,726,000,000","1,609,000,000","2,250,000,000","2,122,299,000","2,184,958,000","1,766,154,000","1,779,446,000","1,693,248,000","1,632,643,000","1,229,926,000","1,219,593,000","910,794,000","1,004,324,000","840,586,000","824,804,000","658,434,000","646,747,000","624,619,000","529,622,000","368,097,000","238,343,000"
	CashFlowFromContinuingOperatingActivities,"101,746,000,000","18,915,000,000","30,656,000,000","28,666,000,000","23,509,000,000","23,614,000,000","23,353,000,000","19,422,000,000","25,106,000,000","24,934,000,000","25,539,000,000","21,890,000,000","19,289,000,000","22,677,000,000","17,003,000,000","13,993,000,000","11,451,000,000","14,427,000,000","15,466,000,000","12,627,000,000","12,000,000,000","12,987,000,000","13,210,000,000","10,132,000,000","11,642,000,000","10,268,000,000","9,872,000,000","7,403,000,000","9,548,000,000","9,413,000,000","9,845,000,000","9,120,000,000","7,658,000,000","6,415,000,000","6,145,000,000","7,096,000,000","6,722,000,000","6,364,000,000","5,994,000,000","5,627,000,000","4,391,000,000","5,238,000,000","5,083,000,000","4,705,000,000","3,633,000,000","4,669,000,000","4,004,000,000","4,252,000,000","3,694,000,000","3,924,000,000","3,950,000,000","3,519,000,000","3,172,000,000","3,526,000,000","2,886,000,000","2,085,000,000","2,584,000,000","2,731,531,000","2,726,000,000","1,609,000,000","2,250,000,000","2,122,299,000","2,184,958,000","1,766,154,000","1,779,446,000","1,693,248,000","1,632,643,000","1,229,926,000","1,219,593,000","910,794,000","1,004,324,000","840,586,000","824,804,000","658,434,000","646,747,000","624,619,000","529,622,000","368,097,000","238,343,000"
		NetIncomeFromContinuingOperations,"73,795,000,000","20,687,000,000","19,689,000,000","18,368,000,000","15,051,000,000","13,624,000,000","13,910,000,000","16,002,000,000","16,436,000,000","20,642,000,000","18,936,000,000","18,525,000,000","17,930,000,000","15,227,000,000","11,247,000,000","6,959,000,000","6,836,000,000","10,671,000,000","7,068,000,000","9,947,000,000","6,657,000,000","8,948,000,000","9,192,000,000","3,195,000,000","9,401,000,000","-3,020,000,000","6,732,000,000","3,524,000,000","5,426,000,000","5,333,000,000","5,061,000,000","4,877,000,000","4,207,000,000","4,923,000,000","3,979,000,000","3,931,000,000","3,515,000,000","4,757,000,000","2,739,000,000","3,270,000,000","3,452,000,000","3,376,000,000","2,970,000,000","3,228,000,000","3,346,000,000","2,886,000,000","2,176,000,000","2,785,000,000","2,890,000,000","2,704,000,000","2,729,000,000","2,506,000,000","1,798,000,000","2,543,000,000","2,167,000,000","1,840,000,000","1,955,000,000","1,974,100,000","1,639,000,000","1,484,000,000","1,423,000,000","382,442,000","1,289,939,000","1,247,391,000","1,307,086,000","1,206,449,000","1,069,989,000","925,120,000","1,002,162,000","1,030,717,000","733,361,000","721,077,000","592,291,000","372,208,000","381,182,000","342,814,000","369,193,000","204,100,000","51,983,000"
		OperatingGainsLosses,"823,000,000","-471,000,000","869,000,000","509,000,000","-84,000,000","1,663,000,000","1,378,000,000","1,041,000,000","1,437,000,000","-2,478,000,000","-2,158,000,000","-2,883,000,000","-4,751,000,000","-3,262,000,000","-2,015,000,000","-1,842,000,000","802,000,000","-399,000,000","1,479,000,000","-2,797,000,000","-1,081,000,000","-1,237,000,000","-1,353,000,000","-1,068,000,000","-2,992,000,000","34,000,000","45,000,000","3,000,000","19,000,000","71,000,000","-90,000,000","14,000,000","280,000,000","302,000,000","-1,000,000","17,000,000","16,000,000","-760,000,000","-12,000,000","-145,000,000","-220,000,000","5,000,000","-15,000,000",,,"0","0","-144,000,000","-44,000,000",,,,,,,,,,,,,,,,,"-32,526,000","-7,180,000",,,"1,674,000","6,800,000","-114,664,000","118,664,000","221,406,000","-271,597,000","166,124,000","126,285,000","116,523,000","413,952,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-740,000,000","0",,,"5,000,000","-15,000,000",,,"0","0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"823,000,000","-471,000,000","869,000,000","509,000,000","-84,000,000","1,663,000,000","1,378,000,000","1,041,000,000","1,437,000,000","-2,478,000,000","-2,158,000,000","-2,883,000,000","-4,751,000,000","-3,262,000,000","-2,015,000,000","-1,842,000,000","802,000,000","-399,000,000","1,479,000,000","-2,797,000,000","-1,081,000,000","-1,237,000,000","-1,353,000,000","-1,068,000,000","-2,992,000,000","34,000,000","45,000,000","3,000,000","19,000,000","71,000,000","-90,000,000","14,000,000","280,000,000","302,000,000","-1,000,000","17,000,000","16,000,000","-20,000,000","-12,000,000","-145,000,000","-220,000,000",,,,,,,"0","-44,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"11,946,000,000","1,563,000,000","3,800,000,000","3,397,000,000","3,186,000,000","4,201,000,000","4,046,000,000","3,899,000,000","3,782,000,000","3,439,000,000","3,304,000,000","2,945,000,000","2,753,000,000","3,725,000,000","3,478,000,000","3,386,000,000","3,108,000,000","3,413,000,000","2,920,000,000","2,835,000,000","2,613,000,000","2,580,000,000","2,355,000,000","2,114,000,000","1,986,000,000","2,026,000,000","1,761,000,000","1,625,000,000","1,503,000,000","1,687,000,000","1,596,000,000","1,490,000,000","1,371,000,000","1,404,000,000","1,248,000,000","1,234,000,000","1,177,000,000","1,267,000,000","1,547,000,000","1,079,000,000","1,086,000,000","1,036,000,000","974,000,000","1,030,000,000","899,000,000","953,000,000","828,000,000","670,000,000","511,000,000","503,000,000","492,000,000","455,000,000","401,000,000","381,000,000","342,000,000","342,000,000","331,000,000","365,506,000","379,000,000","377,000,000","403,000,000","385,510,000","386,246,000","391,607,000","336,524,000","289,936,000","249,375,000","223,355,000","204,992,000","189,250,000","145,310,000","126,221,000","111,158,000","94,725,000","75,965,000","66,929,000","56,193,000","52,460,000","41,326,000"
			DepreciationAndAmortization,"11,946,000,000","1,563,000,000","3,800,000,000","3,397,000,000","3,186,000,000","4,201,000,000","4,046,000,000","3,899,000,000","3,782,000,000","3,439,000,000","3,304,000,000","2,945,000,000","2,753,000,000","3,725,000,000","3,478,000,000","3,386,000,000","3,108,000,000","3,413,000,000","2,920,000,000","2,835,000,000","2,613,000,000","2,580,000,000","2,355,000,000","2,114,000,000","1,986,000,000","2,026,000,000","1,761,000,000","1,625,000,000","1,503,000,000","1,687,000,000","1,596,000,000","1,490,000,000","1,371,000,000","1,404,000,000","1,248,000,000","1,234,000,000","1,177,000,000","1,267,000,000","1,547,000,000","1,079,000,000","1,086,000,000","1,036,000,000","974,000,000","1,030,000,000","899,000,000","953,000,000","828,000,000","670,000,000","511,000,000","503,000,000","492,000,000","455,000,000","401,000,000","381,000,000","342,000,000","342,000,000","331,000,000","365,506,000","379,000,000","377,000,000","403,000,000","385,510,000","386,246,000","391,607,000","336,524,000","289,936,000","249,375,000","223,355,000","204,992,000","189,250,000","145,310,000","126,221,000","111,158,000","94,725,000","75,965,000","66,929,000","56,193,000","52,460,000","41,326,000"
				Depreciation,"11,946,000,000","1,936,000,000","3,671,000,000","3,279,000,000","3,060,000,000","4,065,000,000","3,933,000,000","3,698,000,000","3,591,000,000","3,215,000,000","3,085,000,000","2,730,000,000","2,525,000,000","3,539,000,000","3,289,000,000","3,178,000,000","2,899,000,000","3,082,000,000","2,732,000,000","2,626,000,000","2,416,000,000","2,373,000,000","2,138,000,000","1,862,000,000","1,791,000,000","1,831,000,000","1,561,000,000","1,424,000,000","1,287,000,000","1,464,000,000","1,377,000,000","1,271,000,000","1,155,000,000","1,153,000,000","1,030,000,000","1,011,000,000","938,000,000","1,010,000,000","884,000,000","813,000,000","816,000,000","757,000,000","693,000,000","747,000,000","584,000,000","630,000,000","507,000,000","473,000,000","378,000,000","385,000,000","363,000,000","347,000,000","301,000,000","280,000,000","257,000,000","266,000,000","264,000,000","296,817,000","311,000,000","311,000,000","321,000,000","313,475,000","309,482,000","308,716,000","280,564,000","241,902,000","207,415,000","188,137,000","170,289,000","158,801,000","129,550,000","110,211,000","95,868,000","85,705,000","67,662,000","56,967,000","46,478,000","42,903,000","35,796,000"
				AmortizationCashFlow,,,"129,000,000","118,000,000","126,000,000","136,000,000","113,000,000","201,000,000","191,000,000","224,000,000","219,000,000","215,000,000","228,000,000","186,000,000","189,000,000","208,000,000","209,000,000","331,000,000","188,000,000","209,000,000","197,000,000","207,000,000","217,000,000","252,000,000","195,000,000","195,000,000","200,000,000","201,000,000","216,000,000","223,000,000","219,000,000","219,000,000","216,000,000","251,000,000","218,000,000","223,000,000","239,000,000","257,000,000","663,000,000","266,000,000","270,000,000","279,000,000","281,000,000","283,000,000","315,000,000","323,000,000","321,000,000","197,000,000","133,000,000","118,000,000","129,000,000","108,000,000","100,000,000","101,000,000","85,000,000","76,000,000","67,000,000","68,689,000","68,000,000","66,000,000","82,000,000","72,035,000","76,764,000","82,891,000","55,960,000","48,034,000","41,960,000","35,218,000","34,703,000","30,449,000","15,760,000","16,010,000","15,290,000","9,020,000","8,303,000","9,962,000","9,715,000","9,557,000","5,530,000"
					AmortizationOfIntangibles,,,"129,000,000","118,000,000","126,000,000","136,000,000","113,000,000","201,000,000","191,000,000","224,000,000","219,000,000","215,000,000","228,000,000","186,000,000","189,000,000","208,000,000","209,000,000","331,000,000","188,000,000","209,000,000","197,000,000","207,000,000","217,000,000","252,000,000","195,000,000","195,000,000","200,000,000","201,000,000","216,000,000","223,000,000","219,000,000","219,000,000","216,000,000","251,000,000","218,000,000","223,000,000","239,000,000","257,000,000","663,000,000","266,000,000","270,000,000","279,000,000","281,000,000","283,000,000","315,000,000","323,000,000","321,000,000","197,000,000","133,000,000","118,000,000","129,000,000","108,000,000","100,000,000","101,000,000","85,000,000","76,000,000","67,000,000","68,689,000","68,000,000","66,000,000","82,000,000","72,035,000","76,764,000","82,891,000","55,960,000","48,034,000","41,960,000","35,218,000","34,703,000","30,449,000","15,760,000","16,010,000","15,290,000","9,020,000","8,303,000","9,962,000","9,715,000","9,557,000","5,530,000"
		DeferredTax,"-7,763,000,000","-1,670,000,000","-1,824,000,000","-2,415,000,000","-1,854,000,000","-1,924,000,000","-1,920,000,000","-2,147,000,000","-2,090,000,000","1,616,000,000","-1,287,000,000","379,000,000","1,100,000,000","1,670,000,000","136,000,000","-591,000,000","175,000,000","-208,000,000","-239,000,000","693,000,000","-73,000,000","55,000,000","880,000,000","-139,000,000","-18,000,000","16,000,000","-296,000,000","-75,000,000","613,000,000","-157,000,000","-245,000,000","-50,000,000","414,000,000","387,000,000","-416,000,000","-221,000,000","71,000,000","394,000,000","-360,000,000","-282,000,000","144,000,000","-562,000,000","-140,000,000","63,000,000","202,000,000","-289,000,000","-168,000,000","-163,000,000","354,000,000","-183,000,000","62,000,000","175,000,000","289,000,000","-14,000,000","27,000,000","9,000,000","-13,000,000","20,278,000","-174,000,000","-101,000,000","-13,000,000","-100,048,000","-18,707,000","-67,676,000","-38,214,000",,"-2,079,000","-121,039,000","-61,402,000",,,,,,,,,,
			DeferredIncomeTax,"-7,763,000,000","-1,670,000,000","-1,824,000,000","-2,415,000,000","-1,854,000,000","-1,924,000,000","-1,920,000,000","-2,147,000,000","-2,090,000,000","1,616,000,000","-1,287,000,000","379,000,000","1,100,000,000","1,670,000,000","136,000,000","-591,000,000","175,000,000","-208,000,000","-239,000,000","693,000,000","-73,000,000","55,000,000","880,000,000","-139,000,000","-18,000,000","16,000,000","-296,000,000","-75,000,000","613,000,000","-157,000,000","-245,000,000","-50,000,000","414,000,000","387,000,000","-416,000,000","-221,000,000","71,000,000","394,000,000","-360,000,000","-282,000,000","144,000,000","-562,000,000","-140,000,000","63,000,000","202,000,000","-289,000,000","-168,000,000","-163,000,000","354,000,000","-183,000,000","62,000,000","175,000,000","289,000,000","-14,000,000","27,000,000","9,000,000","-13,000,000","20,278,000","-174,000,000","-101,000,000","-13,000,000","-100,048,000","-18,707,000","-67,676,000","-38,214,000",,"-2,079,000","-121,039,000","-61,402,000",,,,,,,,,,
		StockBasedCompensation,"22,460,000,000","5,659,000,000","5,743,000,000","5,774,000,000","5,284,000,000","5,100,000,000","4,976,000,000","4,782,000,000","4,504,000,000","3,954,000,000","3,874,000,000","3,803,000,000","3,745,000,000","3,223,000,000","3,195,000,000","3,382,000,000","3,191,000,000","2,645,000,000","2,624,000,000","2,756,000,000","2,769,000,000","2,253,000,000","2,230,000,000","2,413,000,000","2,457,000,000","1,847,000,000","1,820,000,000","2,003,000,000","2,009,000,000","1,846,000,000","1,860,000,000","1,503,000,000","1,494,000,000","1,436,000,000","1,432,000,000","1,132,000,000","1,203,000,000","1,187,000,000","1,290,000,000","915,000,000","887,000,000","902,000,000","886,000,000","847,000,000","708,000,000","716,000,000","762,000,000","658,000,000","556,000,000","537,000,000","571,000,000","434,000,000","432,000,000","396,000,000","380,000,000","309,000,000","291,000,000","275,974,000","317,000,000","294,000,000","277,000,000","286,172,000","280,039,000","272,776,000","280,779,000","245,300,000","197,956,000","241,524,000","183,866,000",,"99,860,000","109,149,000","114,664,000",,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-194,000,000","-138,000,000","-111,000,000","-105,000,000","-181,000,000","-175,000,000","-137,000,000","-155,000,000","-179,000,000","-104,000,000","-104,000,000","-94,000,000","-75,000,000","-58,000,000","-27,000,000","-28,000,000","-25,000,000","-28,000,000","-9,000,000","-24,000,000","-51,000,000","-12,000,000","-19,000,000","-12,000,000","-25,878,000","-28,000,000","-4,000,000","-32,000,000","-44,318,000","-19,791,000","-43,878,000","-51,101,000","-140,629,000","-58,762,000","-105,731,000","-74,084,000",,"-70,981,000","-180,802,000","-77,285,000",,,,,,
		OtherNonCashItems,"4,330,000,000","3,418,000,000","262,000,000","97,000,000","553,000,000","661,000,000","167,000,000","62,000,000","140,000,000","-14,000,000","64,000,000","-8,000,000","-255,000,000","392,000,000","206,000,000","372,000,000","297,000,000","-473,000,000","-71,000,000","-70,000,000","22,000,000","-107,000,000","38,000,000","137,000,000","-257,000,000","38,000,000","96,000,000","39,000,000","57,000,000","57,000,000","26,000,000","27,000,000","64,000,000","55,000,000","41,000,000","55,000,000","61,000,000","42,000,000","66,000,000","105,000,000","-14,000,000","62,000,000","98,000,000","-91,000,000","37,000,000","-4,000,000","32,000,000","-32,000,000","-24,000,000","3,000,000","-52,000,000","19,000,000","36,000,000","-5,000,000","-9,000,000","0","2,000,000","6,070,000","-3,000,000","-2,000,000","-21,000,000","-17,422,000","10,170,000","20,245,000","-44,903,000","-32,526,000","-7,180,000","6,351,000","-6,386,000","-134,432,000","6,800,000","0","4,000,000",,,,,,
		ChangeInWorkingCapital,"-3,845,000,000","-10,271,000,000","2,117,000,000","2,936,000,000","1,373,000,000","289,000,000","796,000,000","-4,217,000,000","897,000,000","-2,225,000,000","2,806,000,000","-871,000,000","-1,233,000,000","1,702,000,000","756,000,000","2,327,000,000","-2,958,000,000","-1,222,000,000","1,685,000,000","-737,000,000","1,093,000,000","495,000,000","-132,000,000","3,480,000,000","1,065,000,000","9,327,000,000","-286,000,000","284,000,000","-79,000,000","576,000,000","1,637,000,000","1,259,000,000","-172,000,000","-1,898,000,000","-138,000,000","948,000,000","679,000,000","-342,000,000","899,000,000","822,000,000","-789,000,000","598,000,000","414,000,000","422,000,000","-1,465,000,000","482,000,000","432,000,000","505,000,000","-521,000,000","275,000,000","176,000,000","-61,000,000","240,000,000","276,000,000","-9,000,000","-396,000,000","30,000,000","115,481,000","596,000,000","-439,000,000","213,000,000","135,206,000","257,062,000","-54,311,000","-10,725,000","288,930,000","183,344,000","60,346,000","-29,555,000","-192,610,000","89,974,000","64,941,000","79,976,000","-29,905,000","46,942,000","48,752,000","-22,049,000","-4,986,000","-268,918,000"
			ChangeInReceivables,"-7,833,000,000","-6,518,000,000","-2,821,000,000","-2,948,000,000","4,454,000,000","-4,615,000,000","-97,000,000","-1,969,000,000","4,364,000,000","-5,819,000,000","-2,409,000,000","-3,661,000,000","2,794,000,000","-5,445,000,000","-3,601,000,000","-80,000,000","2,602,000,000","-4,365,000,000","-1,000,000","-1,146,000,000","1,172,000,000","-2,887,000,000","-670,000,000","-312,000,000","1,700,000,000","-3,049,000,000","-1,150,000,000","-836,000,000","1,267,000,000","-2,279,000,000","-282,000,000","-835,000,000","818,000,000","-1,758,000,000","-267,000,000","-767,000,000","698,000,000","-1,151,000,000","-36,000,000","-721,000,000","267,000,000","-853,000,000","-516,000,000","-194,000,000","256,000,000","-559,000,000","-307,000,000","-222,000,000","301,000,000","-909,000,000","-223,000,000","-205,000,000","181,000,000","-673,000,000","-259,000,000","-243,000,000","46,000,000","-377,360,000","-85,000,000","-139,000,000","97,000,000","-116,138,000","78,050,000","-72,883,000","-223,493,000","-277,822,000","-234,391,000","-171,472,000","-153,562,000","-280,656,000","-150,145,000","-37,990,000","-155,221,000","-147,207,000","-120,496,000","-44,518,000","-60,069,000","-78,567,000","-41,864,000"
				ChangesInAccountReceivables,"-7,833,000,000","-6,518,000,000","-2,821,000,000","-2,948,000,000","4,454,000,000","-4,615,000,000","-97,000,000","-1,969,000,000","4,364,000,000","-5,819,000,000","-2,409,000,000","-3,661,000,000","2,794,000,000","-5,445,000,000","-3,601,000,000","-80,000,000","2,602,000,000","-4,365,000,000","-1,000,000","-1,146,000,000","1,172,000,000","-2,887,000,000","-670,000,000","-312,000,000","1,700,000,000","-3,049,000,000","-1,150,000,000","-836,000,000","1,267,000,000","-2,279,000,000","-282,000,000","-835,000,000","818,000,000","-1,758,000,000","-267,000,000","-767,000,000","698,000,000","-1,151,000,000","-36,000,000","-721,000,000","267,000,000","-853,000,000","-516,000,000","-194,000,000","256,000,000","-559,000,000","-307,000,000","-222,000,000","301,000,000","-909,000,000","-223,000,000","-205,000,000","181,000,000","-673,000,000","-259,000,000","-243,000,000","46,000,000","-377,360,000","-85,000,000","-139,000,000","97,000,000","-116,138,000","78,050,000","-72,883,000","-223,493,000","-277,822,000","-234,391,000","-171,472,000","-153,562,000",,"-150,145,000","-37,990,000","-155,221,000",,,,,,
			ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,000,000","-6,000,000","26,000,000","-188,000,000","112,000,000","-16,000,000","-142,000,000","113,000,000","18,000,000","202,000,000","-32,000,000",,"-17,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
